School Namekeyboard_arrow_down,Score 2018 - 19,Rank 2018 - 19,Citykeyboard_arrow_down,language,School Type,Posta Code,Posta Code Detailed,Lat,Long
les Compagnons-de-Cartier,6.8,139,Québec,French,Public,G1X,G1X 3Z3,46.7595733,-71.3284661
Les Estacades,5.4,294,Trois-Rivières,French,Public,G8T,G8T 5G1,46.3785363,-72.5239431
les Etchemins,4.8,368,Lévis,French,Public,G6X,G6X 1M4,46.7200761,-71.2691534
les Seigneuries,4.3,405,Saint-Pierre-les-Becquets,French,Public,G0X,G0X 0A6,46.4975946,-72.194252
Lester B. Pearson,5.4,294,Montréal-Nord,English,Public,H1G,H1G 3W8,45.6118905,-73.6171286
Letendre,7.6,91,Laval,French,Private,H7N,H7N 6G4,45.5602249,-73.7220302
Liberté-Jeunesse,5.8,243,Sainte-Marthe-sur-le-Lac,French,Public,J7R,J7R 3K5,45.5360512,-73.9300547
Lindsay Place,4.1,418,Pointe-Claire,English,Public,H9R,H9R 3Z3,45.4562377,-73.7969055
Louis-Cyr,7.5,93,Napierville,French,Public,J0J,J0J 1L0,45.1917263,-73.4041713
Louis-Jacques-Casault,5.9,231,Montmagny,French,Public,G5V,G5V 2J2,46.9845685,-70.5583985
Louis-Jobin,3.5,438,Saint-Raymond,French,Public,G3L,G3L 3N3,46.8939277,-71.8194999
Louis-Joseph-Papineau,6.4,177,Papineauville,French,Public,J0V,J0V 1W0,45.6173957,-75.0269381
Louis-Joseph-Papineau,2.5,460,Montréal,French,Public,J0V,J0V 1W0,45.5709951,-73.6329209
Louis-Philippe-Paré,6.5,166,Châteauguay,French,Public,J6K,J6K 3X4,45.3444768,-73.7675714
Louis-Riel,5.9,231,Montréal,French,Public,H1M,H1M 1G9,45.582626,-73.5558581
Louis-Saint-Laurent,5.8,243,East Angus,French,Public,J0B,J0B 1R0,45.4911602,-71.6513191
Louise-Trichet,7.1,114,Montréal,French,Public,H1L,H1L 1W9,45.5980774,-73.526422
Loyola,8.3,49,Montréal,English,Private,H4B,H4B 1R9,45.4568895,-73.6395365
Lucien-Pagé,4,422,Montréal,French,Public,H2P,H2P 3A1,45.5390828,-73.6330162
Lucille-Teasdale,9.2,20,Brossard,French,Public,J4X,J4X 1N3,45.4487298,-73.477862
Lucille-Teasdale,6.3,183,Blainville,French,Public,J4X,J4X 1N3,45.6982806,-73.8987194
Lévis,9,24,Lévis,French,Private,G0Z,G0Z 1J0,46.1359821,-72.3765974
M.I.N.D.,5.7,263,Montréal,English,Public,H2T,H2T 2V9,45.5197057,-73.5888041
MacDonald,4.9,357,Sainte-Anne-de-Bellevue,English,Public,H9X,H9X 2E5,45.4066252,-73.9449419
MacLean Memorial,5.2,326,Chibougamau,English,Public,G8P,G8P 2E7,49.9151901,-74.3665237
Marcel-Landry,5.3,312,Saint-Jean-sur-Richelieu,French,Public,J2X,J2X 2P6,45.2952698,-73.2334491
Marcel-Raymond,6.5,166,Lorrainville,French,Public,J0Z,J0Z 0B7,47.3540668,-79.3492565
Marcelle-Mallet,7.8,79,Lévis,French,Private,G6V,G6V 3T6,46.8097171,-71.1849219
Marcellin-Champagnat,8.4,40,Saint-Jean-sur-Richelieu,French,Private,J2X,J2X 1A3,45.3176641,-73.2481258
Marguerite-De Lajemmerais,5.2,326,Montréal,French,Public,H4A,H4A 1W4,45.571345,-73.5513689
Marie-Anne,2.7,458,Montréal,French,Public,H3L,H3L 1H1,45.5475834,-73.6584667
Marie-Clarac,6.9,133,Montréal,French,Private,H1H,H1H 4W4,45.5922354,-73.6492958
Marie-de-l'Incarnation,7.9,74,Trois-Rivières,French,Private,G9C,G9C 1C9,46.3454095,-72.5557006
Marie-Reine-du-Clergé,5.7,263,Métabetchouan--Lac-à-la-Croix,French,Private,G8G,G8G 1P6,48.4389254,-71.8430119
Marie-Rivier,5.8,243,Drummondville,French,Public,J2C,J2C 5M1,45.89785,-72.502449
Marymount,5,350,Montréal,English,Public,H3W,H3W 1Z5,45.4823057,-73.6202077
Massey-Vanier,5.4,294,Cowansville,English,Public,J2K,J2K 3R9,45.2091992,-72.7743136
Matane,4.8,368,Matane,French,Public,G4W,G4W 9H4,48.7961549,-67.4827266
Maïmonide (Jacob Safra),7.4,102,Montréal,French,Private,H4W,H4W 3C5,45.4839953,-73.6679362
Maïmonide (Parkhaven),8.3,49,Côte-Saint-Luc,French,Private,H4W,H4W 0A2,45.4674032,-73.6619145
Michèle-Provost,6.3,183,Montréal,French,Private,H3G,H3G 1B3,45.4983801,-73.5863827
Mirabel,7,122,Mirabel,French,Public,J7N,J7N 2W1,45.6535315,-74.058785
Miss Edgar's & Miss Cramp's,8.4,40,Westmount,English,Private,H3Y,H3Y 3H6,45.4912645,-73.5969178
Mitchell - Montcalm,6.7,150,Sherbrooke,French,Public,J1J,J1J 1S8,45.4037694,-71.9136001
Monique-Proulx,6.6,159,Warwick,French,Public,J0A,J0A 1J0,45.9400114,-71.9933569
Monseigneur Sévigny,5.7,263,Chandler,French,Public,G0C,G0C 0A8,48.3544278,-64.6856396
Monseigneur-A.-M.-Parent,3.3,444,Longueuil,French,Public,G0C,G0C 0A8,48.3544278,-64.6856396
Monseigneur-Euclide-Théberge,4.7,377,Marieville,French,Public,J3M,J3M 0G8,45.4317344,-73.1495304
Monseigneur-Labrie,4.4,397,Havre-Saint-Pierre,French,Public,G0G,G0G 0B1,50.2440763,-63.5999918
Monseigneur-Richard,5.9,231,Montréal,French,Public,H4G,H4G 3B3,45.4701499,-73.5601196
Mont Notre-Dame,8.7,30,Sherbrooke,French,Private,J1H,J1H 4L8,45.4016398,-71.8922038
Mont-Bleu,5.8,243,Gatineau,French,Public,J8Z,J8Z 1L3,45.4618107,-75.7708928
Mont-de-La Salle,5.3,312,Laval,French,Public,H7N,H7N 4E5,45.5548318,-73.6888831
Mont-Royal,8.6,34,Mont-Royal,French,Private,H3R,H3R 2B2,45.51326,-73.637754
Mont-Royal,7,122,Montréal,French,Private,H3R,H3R 2B2,45.51326,-73.637754
Mont-Sacré-Coeur,7.1,114,Granby,French,Private,J2H,J2H 0A5,45.3920915,-72.7077242
Mont-Saint-Louis,9.3,17,Montréal,French,Private,H2C,H2C 1J6,45.5692097,-73.6582278
Mont-Saint-Sacrement,8.3,49,Saint-Gabriel-de-Valcartier,French,Private,G0A,G0A 4S0,46.9783354,-71.5021535
Mont-Sainte-Anne,5.3,312,Sherbrooke,French,Private,J1N,J1N 3V5,45.3705278,-71.9321204
Montignac,6.1,209,Lac-Mégantic,French,Public,G6B,G6B 2V5,45.5968214,-70.9338097
Monts,6.3,183,Sainte-Agathe-des-Monts,French,Public,J8C,J8C 3S8,46.0805596,-74.3042835
Natagan,2.9,456,Barraute,French,Public,J0Y,J0Y 0B9,48.4391784,-77.6337661
Nicolas-Gatineau,5.4,294,Gatineau,French,Public,J8P,J8P 7L9,45.4991079,-75.6456805
Normandin,5.9,231,Normandin,French,Public,G0X,G0X 2C0,47.1699765,-73.046366
North Star,6.5,166,Laval,English,Private,H7W,H7W 4T8,45.5305569,-73.7809504
Notre Dame de Nareg,6.3,183,Laval,French,Private,H7V,H7V 3N9,45.5423089,-73.7326372
Notre-Dame,7.8,79,Rivière-du-Loup,French,Private,G9B,G9B 7Z1,46.4844196,-72.8473444
Notre-Dame,8,66,Montréal,French,Private,G9B,G9B 7Z1,46.4844196,-72.8473444
Notre-Dame-de-l'Assomption,5,350,Nicolet,French,Private,J3T,J3T 1Z7,46.2328394,-72.6151121
Notre-Dame-de-Lourdes,8.2,56,Longueuil,French,Private,J4P,J4P 3G3,45.51521,-73.512326
Notre-Dame-des-Servite,4.3,405,Ayer's Cliff,French,Private,J0B,J0B 1W0,45.1761703,-72.0685119
Nouvelles Frontières,9,24,Gatineau,French,Private,J8Y,J8Y 1W9,45.4435023,-75.7489432
Oka,6.4,177,Oka,French,Public,J7V,J7V 7X1,45.4736793,-74.0821235
Options II,2.2,462,Montréal,English,Public,H4E,H4E 1T4,45.458799,-73.587174
Ozias-Leduc,5.9,231,Mont-Saint-Hilaire,French,Public,J3H,J3H 3N2,45.5686672,-73.1845784
Pamphile-Le May,5,350,Sainte-Croix,French,Public,G0S,G0S 2H0,46.6213927,-71.7430573
Paspébiac,7,122,Paspébiac,French,Public,G0C,G0C 0B5,48.0441924,-65.2457711
Pasteur,9.6,9,Montréal,French,Private,H4J,H4J 1A9,45.5330107,-73.7223489
Paul-Arseneau,5.8,243,L'Assomption,French,Public,H4J,H4J 1A9,45.5330107,-73.7223489
Paul-Germain-Ostiguy,3.5,438,Saint-Césaire,French,Public,J3G,J3G 0R5,45.410549,-73.01287
Paul-Gérin-Lajoie-d'Outremont,6.6,159,Montréal,French,Public,H2V,H2V 1Y7,45.519779,-73.6059652
Paul-Hubert,5.2,326,Rimouski,French,Public,G5L,G5L 7A7,48.4353027,-68.518959
Paul-Le Jeune,5.9,231,Saint-Tite,French,Public,G0X,G0X 2Z0,46.7324461,-72.5591138
Perspectives II,0.6,468,Montréal,English,Public,H2A,H2A 2K9,45.5681998,-73.6007306
Philemon Wright,6.6,159,Gatineau,English,Public,J8Z,J8Z 1S3,45.4661605,-75.7489752
Phoenix,3.1,448,Laval,English,Public,J8Z,J8Z 1S3,45.4661605,-75.7489752
Pierre-Bédard,5.2,326,Saint-Rémi,French,Public,J5A,J5A 0M6,45.2558848,-73.6155757
Pierre-de-Lestage,3.5,438,Berthierville,French,Public,J0K,J0K 1A0,46.0825514,-73.1927673
Pierre-Dupuy,4,422,Montréal,French,Public,H2V,H2V 4T6,45.5093417,-73.6000866
Pierre-Laporte,8.1,60,Mont-Royal,French,Public,H3P,H3P 2X8,45.5233854,-73.6366125
Pierrefonds,6.9,133,Pierrefonds,English,Public,H3P,H3P 2X8,45.5233854,-73.6366125
Pointe-aux-Trembles,5.9,231,Montréal,French,Public,H1T,H1T 3E3,45.5678704,-73.5723396
Pointe-Lévy,6,222,Lévis,French,Public,G6V,G6V 5T1,46.8022095,-71.1750172
Polybel,4.3,405,Beloeil,French,Public,J3G,J3G 2M1,45.5716169,-73.218151
Polyno,5.2,326,La Sarre,French,Public,J9Z,J9Z 1M4,48.8032388,-79.2053984
Polyvalente Sainte-Thérèse,5.7,263,Sainte-Thérèse,French,Public,J7E,J7E 4T6,45.6496178,-73.8270372
Pontiac,3.8,432,Shawville,English,Public,J0X,J0X 2P0,45.6085236,-76.4936904
Père-Marquette,4.9,357,Montréal,French,Public,H1W,H1W 2Z9,45.5419824,-73.5413501
Quebec,4.8,368,Québec,English,Public,H1W,H1W 2Z9,45.5419824,-73.5413501
Regina Assumpta,9.4,15,Montréal,French,Private,H2C,H2C 1X6,45.5644125,-73.650018
Reine-Marie,6.3,183,Montréal,French,Private,H2C,H2C 1X6,45.5644125,-73.650018
Richmond,5.3,312,Richmond,English,Public,G3Z,G3Z 0L5,49.1612004,-123.1427059
Rive-Nord,8.1,60,Bois-des-Filion,French,Public,J6Z,J6Z 1M9,45.6702421,-73.760366
Riverdale,5.4,294,Pierrefonds,English,Public,H8Z,H8Z 3G1,45.5101129,-73.8249609
Riverside,5.3,312,Saguenay,English,Public,G7S,G7S 3B1,48.4332787,-71.1835605
Rivier,6.1,209,Coaticook,French,Private,J1A,J1A 2R4,45.1376358,-71.79649
Rivière-des-Quinze,6.2,201,Notre-Dame-du-Nord,French,Public,J0Z,J0Z 2Z0,47.59106,-79.4903121
Rivière-du-Loup,5.5,277,Rivière-du-Loup,French,Public,G5R,G5R 1R8,47.8310317,-69.5322923
Robert-Gravel,7.7,84,Montréal,French,Public,G5R,G5R 1R8,47.8310317,-69.5322923
Robert-Ouimet,5.9,231,Acton Vale,French,Public,J0H,J0H 1Z0,45.6579246,-72.571289
Roger-Comtois,4.1,418,Québec,French,Public,G2A,G2A 1P2,46.8539439,-71.3652016
Rosemere,6.5,166,Rosemère,English,Public,J7A,J7A 3N4,45.6478206,-73.7862852
Rosemount,5.3,312,Montréal,English,Public,H1X,H1X 2T2,45.5594942,-73.5833782
Royal Vale,7,122,Montréal,English,Public,H3X,H3X 2A4,45.475216,-73.63255
Royal West,8.7,30,Montréal-Ouest,English,Public,H4X,H4X 1K5,45.4504836,-73.6432527
Sacred Heart,8.4,40,Montréal,English,Private,H3J,H3J 2Z6,45.4951514,-73.5883563
Sacré-Coeur,7.1,114,Grenville-sur-la-Rouge,French,Private,J0V,J0V 0B8,45.6464415,-74.7499404
Sacré-Coeur,8.7,30,Sherbrooke,French,Private,J0V,J0V 0B8,45.4187959,-72.2602192
Saint-Alexandre,9.5,12,Gatineau,French,Private,J8V,J8V 1E7,45.493059,-75.750335
Saint-Anselme,5.1,337,Saint-Anselme,French,Public,G0R,G0R 2N0,46.6339014,-70.9867889
Saint-Aubin,6.8,139,Baie-Saint-Paul,French,Public,G3Z,G3Z 0L9,47.4394763,-70.5145541
Saint-Bernard,5.3,312,Drummondville,French,Private,J2B,J2B 1J8,45.8759952,-72.4795151
Saint-Charles,5.6,273,Saint-Charles-de-Bellechasse,French,Public,J2B,J2B 1J8,45.8759952,-72.4795151
Saint-Charles-Garnier,8,66,Québec,French,Private,G0L,G0L 3K0,47.5683938,-69.6452499
Saint-Damien,7.3,110,Saint-Damien-de-Buckland,French,Public,G0L,G0L 3K0,47.5683938,-69.6452499
Saint-Edmond,7.5,93,Longueuil,French,Public,J4K,J4K 2Z6,45.5143102,-73.4980506
Saint-François,6.7,150,Beauceville,French,Private,G5X,G5X 1S2,46.2107435,-70.7786922
Saint-François,8,66,Saint-Augustin-de-Desmaures,French,Private,G5X,G5X 1S2,46.5945395,-71.1404229
Saint-Gabriel,6.7,150,Sainte-Thérèse,French,Public,J7E,J7E 1L6,45.6397158,-73.8401614
Saint-Georges,4.4,397,Saint-Georges,French,Public,H9P,H9P 1T8,45.4534942,-73.7739479
Saint-Georges,5.8,243,Senneville,French,Public,H9P,H9P 1T8,45.4130478,-73.9509276
Saint-Henri,3.8,432,Montréal,French,Public,H4C,H4C 2Z2,45.4773017,-73.5915612
Saint-Hilaire,8.5,35,Mont-Saint-Hilaire,French,Private,H4C,H4C 2Z2,45.4773017,-73.5915612
Saint-Jean-Baptiste,5,350,Longueuil,French,Public,J4K,J4K 4L1,45.5247421,-73.5095497
Saint-Jean-Vianney,7,122,Montréal,French,Private,H1A,H1A 0E3,45.6916653,-73.5196716
Saint-Joseph,6.3,183,Mont-Laurier,French,Private,J9L,J9L 2S6,46.5587061,-75.5012312
Saint-Joseph,6.7,150,Trois-Rivières,French,Private,J9L,J9L 2S6,46.344426,-72.5557006
Saint-Joseph,8,66,Saint-Hyacinthe,French,Private,J9L,J9L 2S6,45.6329303,-72.9631834
Saint-Joseph de Hull,10,1,Gatineau,French,Private,J8X,J8X 3T4,45.4314995,-75.710547
Saint-Jérôme,7.8,79,Saint-Jérôme,French,Public,J5L,J5L 2R3,45.796479,-74.0437051
Saint-Laurent,5.1,337,Montréal,French,Public,H3R,H3R 2H9,45.5043639,-73.6496519
Saint-Louis,8.1,60,Québec,French,Private,H3S,H3S 2J2,45.5094972,-73.6266649
Saint-Luc,7.5,93,Montréal,French,Public,H4V,H4V 2W8,45.4738639,-73.6435013
Saint-Marc,5.6,273,Saint-Marc-des-Carrières,French,Public,H4V,H4V 2W8,45.4738639,-73.6435013
Saint-Maurice,7.7,84,Saint-Hyacinthe,French,Private,J2S,J2S 4E4,45.6366332,-72.9542864
Saint-Maxime,4.9,357,Laval,French,Public,J2S,J2S 4E4,45.6366332,-72.9542864
Saint-Michael,4.6,383,Low,English,Public,J0X,J0X 2C0,45.8101432,-75.9477501
Saint-Nom-de-Marie,10,1,Montréal,French,Private,H2V,H2V 2T5,45.5118689,-73.6126303
Saint-Paul,8,66,Varennes,French,Private,J3X,J3X 1R6,45.6851101,-73.4420094
Saint-Pierre et des Sentiers,6.3,183,Québec,French,Public,G2L,G2L 2A9,46.886516,-71.267899
Saint-Sacrement,9.3,17,Terrebonne,French,Private,J6W,J6W 1M9,45.6994567,-73.6381594
Saint-Stanislas,8.2,56,Saint-Jérôme,French,Public,J7Z,J7Z 2Z3,45.7633652,-73.9904659
Sainte-Anne,7.7,84,Daveluyville,French,Public,G0Z,G0Z 0A4,46.2032852,-72.1393585
Sainte-Anne de La Pocatière,7.7,84,La Pocatière,French,Private,G0L,G0L 1M0,47.4068215,-70.0940385
Sainte-Anne de Lachine,9.6,9,Montréal,French,Private,G0L,G0L 1M0,47.4068215,-70.0940385
Sainte-Marcelline,9.4,15,Montréal,French,Private,H4M,H4M 2E6,45.5030421,-73.6820848
Sainte-Marie,6.8,139,Princeville,French,Private,G6L,G6L 4W6,46.1697386,-71.8743526
Sainte-Marie,7.4,102,Shawinigan,French,Private,G6L,G6L 4W6,46.5399107,-72.7790392
Salésien,6.9,133,Sherbrooke,French,Private,J1L,J1L 1E5,45.3981766,-71.9513897
Samuel-De Champlain,5.4,294,Québec,French,Public,J0C,J0C 1M0,46.0941189,-72.3439269
Selwyn House,7.9,74,Westmount,English,Private,H3Y,H3Y 2H8,45.4860089,-73.5975487
Serge-Bouchard,5.3,312,Baie-Comeau,French,Public,G5C,G5C 3W8,49.1889699,-68.2582608
Shawinigan,4.4,397,Shawinigan,English,Public,G9N,G9N 1K2,46.5338042,-72.7522811
Sherbrooke,8.3,49,Sherbrooke,French,Private,J1H,J1H 3L9,45.4072164,-71.9041647
Sieur-de-Coulonge,6.8,139,Fort-Coulonge,French,Public,J0X,J0X 1R0,45.8555526,-76.7172622
"Skver, section française",9.2,20,Montréal,French,Private,H3S,H3S 1V9,45.5061854,-73.6241947
Sophie-Barat,6.9,133,Montréal,French,Public,H2C,H2C 3J5,45.5632719,-73.6478437
Soulanges,6.1,209,Saint-Polycarpe,French,Public,J0P,J0P 1S0,45.2976421,-74.3093677
St. George's,8.4,40,Montréal,English,Private,H3Y,H3Y 1R9,45.4939405,-73.5969681
St. John's,5.8,243,Saint-Jean-sur-Richelieu,English,Public,J5B,J5B 1V3,45.3515923,-73.523151
St. Patrick,6,222,Québec,English,Public,G1R,G1R 2C4,46.804766,-71.224195
St. Thomas,7.9,74,Pointe-Claire,English,Public,H9R,H9R 3Z3,45.4560804,-73.7968935
Ste-Agathe,5.5,277,Sainte-Agathe-des-Monts,English,Public,J8C,J8C 3S8,46.0805596,-74.3042835
The Study,9.1,23,Westmount,English,Private,H3Y,H3Y 3E8,45.4907899,-73.6005734
Thetford Mines,4,422,Thetford Mines,French,Public,G6G,G6G 4W6,46.0972289,-71.2883246
Three Rivers,4.2,413,Trois-Rivières,English,Public,G9A,G9A 1C5,46.3592777,-72.5478686
Thérèse-Martin,5.9,231,Joliette,French,Public,J6E,J6E 0C8,46.0292892,-73.4253004
Trafalgar,8,66,Montréal,English,Private,H3G,H3G 2J5,45.4987002,-73.5841316
Val-Mauricie,6.7,150,Shawinigan,French,Public,G9P,G9P 2L9,46.5224202,-72.7581837
Vanguard secteur anglophone,5.2,326,Montréal,English,Private,H4L,H4L 4T9,45.5183206,-73.6762863
Vanguard secteur francophone,7.9,74,Montréal,French,Private,H4T,H4T 1V3,45.4919993,-73.6838443
Vanier,3.7,435,Québec,French,Public,G1K,G1K 0A5,46.8139135,-71.2430444
Veilleux,4.7,377,Saint-Joseph-de-Beauce,French,Public,G0S,G0S 2V0,46.3148078,-70.8796844
Villa Maria,8.3,49,Montréal,French,Private,H3W,H3W 2H3,45.4818164,-73.6170163
Villa Sainte-Marcelline,8.4,40,Westmount,French,Private,H3Y,H3Y 1K4,45.4895782,-73.6174098
Ville-Marie,5.8,243,Montréal,French,Private,H2V,H2V 0B2,45.5245624,-73.6172047
Vincent Massey,8.3,49,Montréal,English,Public,H2V,H2V 0B2,45.5245624,-73.6172047
Voyageur Memorial,0,469,Mistissini,French,Public,G0W,G0W 0A4,50.4183346,-73.8715301
West Island College,8.4,40,Dollard-Des Ormeaux,English,Private,H9B,H9B 2L2,45.4784281,-73.8152796
Westmount,6.3,183,Westmount,English,Public,H3Z,H3Z 2G1,45.4861002,-73.5935365
Westwood,6.3,183,Hudson,English,Public,J7V,J7V 3T3,45.4485965,-74.1504276
Wilbrod-Dufour,3.3,444,Alma,French,Public,G8C,G8C 0G5,48.5385232,-71.6537571
Wilfrid-Léger,5.1,337,Waterloo,French,Public,J0E,J0E 0B9,45.3425785,-72.5279
Yeshiva Gedola Merkaz Hatorah (section anglaise),7.4,102,Montréal,English,Private,H3S,H3S 2P3,45.5127271,-73.6209009
Yéshiva Yavné,7.5,93,Côte-Saint-Luc,French,Private,H4W,H4W 1L7,45.4611697,-73.6643156
Éc. le Vitrail,3.4,441,Montréal,French,Public,H2V,H2V 2Z1,45.5125446,-73.608031
École d'éducation internationale,10,1,McMasterville,French,Public,J3G,J3G 1N9,45.5494565,-73.2259805
École d'éducation internationale,9.6,9,Laval,French,Public,J3G,J3G 1N9,45.5353377,-73.7777056
École du Sas,2,463,Montréal,French,Public,H4R,H4R 1B8,45.5184545,-73.7142708
École internationale de Montréal,10,1,Westmount,French,Public,H3Y,H3Y 2E7,45.4865653,-73.5958976
École le Tremplin,6.1,209,Sainte-Geneviève-de-Batiscan,French,Public,G0X,G0X 0C3,46.543702,-72.34349
École Massey-Vanier,6,222,Cowansville,French,Public,J2K,J2K 3R9,45.2091992,-72.7743136
École sec. Anjou,4.8,368,Montréal,French,Public,H1K,H1K 3P3,45.602371,-73.5401191
école secondaire Herzliah,7.5,93,Montréal,French,Private,H3W,H3W 1R1,45.4889162,-73.6325415
École secondaire Le Tremplin,6.2,201,Malartic,French,Public,J0Y,J0Y 0B2,48.1413092,-78.1210381
École secondaire Queen Elizabeth,6.2,201,Sept-Îles,French,Public,G4R,G4R 2E1,50.211961,-66.379227
Édouard-Montpetit,4.9,357,Montréal,French,Public,H2V,H2V 2A1,45.5165208,-73.5918573
Évangéline,5.8,243,Montréal,French,Public,H3M,H3M 2T5,45.5395398,-73.6915951
