Postal Code,ZIP_CIDE,Walk_Score
H1A,H1A 2E3,17
H1A,H1A 2E4,17
H1A,H1A 2E5,21
H1A,H1A 2E6,17
H1A,H1A 2E7,20
H1A,H1A 2E8,21
H1A,H1A 2E9,21
H1A,H1A 2G1,17
H1A,H1A 2G2,20
H1A,H1A 2G3,24
H1A,H1A 2G4,15
H1A,H1A 2G5,13
H1A,H1A 2G7,8
H1A,H1A 2G9,7
H1A,H1A 2H1,10
H1A,H1A 2H2,10
H1A,H1A 2H4,5
H1A,H1A 2H5,5
H1A,H1A 2H6,7
H1A,H1A 2H7,10
H1A,H1A 2H8,10
H1A,H1A 2H9,10
H1A,H1A 2J1,7
H1A,H1A 2J2,10
H1A,H1A 2J3,10
H1A,H1A 2J4,10
H1A,H1A 2J5,7
H1A,H1A 2J6,7
H1A,H1A 2J7,10
H1A,H1A 2J8,10
H1A,H1A 2J9,24
H1A,H1A 2K1,24
H1A,H1A 2K2,24
H1A,H1A 2K3,23
H1A,H1A 2K4,21
H1A,H1A 2K5,22
H1A,H1A 2K6,22
H1A,H1A 2K7,22
H1A,H1A 2K8,21
H1A,H1A 2K9,19
H1A,H1A 2L1,22
H1A,H1A 2L2,20
H1A,H1A 2L3,14
H1A,H1A 2L4,17
H1A,H1A 2L5,21
H1A,H1A 2L6,21
H1A,H1A 2L7,20
H1A,H1A 2L8,20
H1A,H1A 2L9,17
H1A,H1A 2M1,19
H1A,H1A 2M2,9
H1A,H1A 2M3,9
H1A,H1A 2M4,9
H1A,H1A 2M5,9
H1A,H1A 2M6,10
H1A,H1A 2M7,9
H1A,H1A 2M8,8
H1A,H1A 2M9,10
H1A,H1A 2N1,10
H1A,H1A 2N2,12
H1A,H1A 2N3,10
H1A,H1A 2N4,13
H1A,H1A 2N5,13
H1A,H1A 2N6,21
H1A,H1A 2N7,15
H1A,H1A 2N8,19
H1A,H1A 2N9,19
H1A,H1A 2P1,22
H1A,H1A 2P2,22
H1A,H1A 2P3,18
H1A,H1A 2P4,14
H1A,H1A 2P5,25
H1A,H1A 2P6,21
H1A,H1A 2P7,23
H1A,H1A 2P8,22
H1A,H1A 2P9,18
H1A,H1A 2R1,21
