,type,bedroom,bathroom,size(sqft),address,price,Postal Code,lat,long,url
3656,Condo, 4 1/2 et coin détente,1,860,"10150 Ave de Bois-de-Boulogne, Montreal, QC H4N 1K7, Canada",1 950,H4N,45.53645,-73.67011,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-4-2-a-louer-court-terme-tout-inclus-internet/1579555211
3657,Condo,4 1/2,1,1 000,"2095 Boulevard René Laennec, Vimont H7M 5B4 QC",1 500,H7M,45.61084,-73.72062,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condo-2-chambres-tres-lumineux/1579550218
3658,Condo,3 1/2,1,Non,"1999 rue William, Montreal, QC, H3J 1R9",1 550,H3C,45.48598,-73.56881,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-1-bedroom-condo-for-rent-mccord-apartments-griffintown/1552844304
3659,Condo,4 1/2,1,960,"405 Notre-Dame Est, Montréal, QC, H2Y 1C9",1 900,H2Y,45.51041,-73.55252,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-condo-3-1-2-bureau-meuble-pres-de-luqam/1579313345
3660,Condo,4 1/2,1,706,"11334 Rue Meunier, Montréal, QC H3L 2Z5, Canada",1 300,H3L,45.54805,-73.67758,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-style-condo-moderne-ensoleille-ahunstic-pres-metro-et-parcs/1582228877
3661,Condo, 5 1/2 et coin détente,1,1 000,"935 Av Girouard, Montréal, QC H4A 3B9, Canada",1 950,H4A,45.46951,-73.60496,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/wow-upscale-luxury-5-1-2-for-rent/1582540786
3662,Condo,4 1/2,1,900,"H2J3V3, Canada",1 795,H2J,45.53082,-73.57488,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/a-louer-appartement-condo-renove-coeur-du-plateau-mont-royal/1575738663
3663,Condo,4 1/2,1,700,"7629 Av. Léonard-De Vinci, Montréal, QC H2A 2N6, Canada",1 400,H2A,45.5663,-73.60033,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/merveilleux-4-et-demi-avec-stationnement-a-saint-michel/1579548320
3664,Condo,4 1/2,1,1 000,"98 Rue Saint-Norbert, Montréal, QC H2X 3Z2, Canada",2 400,H2X,45.51326,-73.5676,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-4-1-2-quartier-des-spectacles-garage-terrasse/1579528494
3665,Condo,4 1/2,1,785,"8887 Rue Lajeunesse, Montréal, QC H2M 1R6, Canada",1 599,H2M,45.54757,-73.64151,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condos-a-louer-place-lajeunesse:-ahuntsic-cartierville/1569671183
3666,Appartement,3 1/2,1,Non,"11 rue Ronsard app. 108, St-Constant, QC, J5A 0S7",1 081,J5A,45.3784,-73.60085,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/st-constant-3-1-2-concept-tout-inclus/1546826737
3667,Appartement,4 1/2,1,Non,"11 rue Ronsard app. 108, St-Constant, QC, J5A 0S7",1 564,J5A,45.3784,-73.60085,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/st-constant-4-1-2-neufs-concept-tout-inclus-2-mois-gratuits/1505845693
3668,Appartement,3 1/2,1,Non,"11 rue Ronsard app. 108, St-Constant, QC, J5A 0S7",1 187,J5A,45.3784,-73.60085,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/st-constant-3-1-2-avec-den-concept-tout-inclus/1505845692
3669,Appartement,3 1/2,1,Non,"400 Boulevard Saint-Francis, Châteauguay, QC, J6J 1Z6",1 133,J6K,45.36902,-73.71159,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/3-1-2-tout-inclus-a-louer-all-included-for-rent-in-chateauguay/1526830223
3670,Appartement,4 1/2,1.5,Non disponible,"400 Boulevard Saint-Francis, Châteauguay, QC, J6J 1Z6",1 858,J6K,45.36902,-73.71159,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-1-2-tout-inclus-a-louer-all-included-for-rent-chateauguay/1526830224
3671,Appartement, 1 ½ ou 2 ½,1,Non disponible,"400 Boulevard Saint-Francis, Châteauguay, QC, J6J 1Z6",1 039,J6K,45.36902,-73.71159,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-tout-inclus-a-louer-chateauguay/1526278181
3672,Appartement,3 1/2,1,700,"4275 Boulevard de Maisonneuve O, Westmount, QC H3Z 1K7, Canada",1 150,H3Z,45.48618,-73.59064,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/westmount-4-near-greene/1582568778
3673,Appartement,4 1/2,1,800,"5e Avenue, Verdun, QC H4G 2Z3, Canada",1 170,H4G,45.45645,-73.57627,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/verdun-grand-4-2e-etage-pour-septembre-octobre/1582568700
3674,Appartement,5 1/2,1.5,1 200,"6275 Av. de Repentigny, Montréal, QC H1M 2G9, Canada",1 585,H1M,45.58535,-73.55834,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rosemont-5-1-2-refait-a-neuf-en-2021-1-585-mois/1579731129
3675,Appartement,3 1/2,1.5,1 000,"734 Rue Walnut, Montréal, QC H4C 3E5, Canada",1 850,H4C,45.47312,-73.59459,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-condo-st-henri-atwater-market-a-c-quartz-3-bedroom/1579429286
3676,Appartement,4 1/2,1,750,"2429 Rue Frontenac, Montréal, QC H2K 2Z8, Canada",1 400,H2K,45.53549,-73.55824,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-completement-renove-a-neuf-metro-frontenac-a-louer/1582568177
3677,Appartement,4 1/2,1,1 500,"3e Avenue, Verdun, QC H4G 2X6, Canada",1 450,H4G,45.45753,-73.57334,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/verdun-4-au-1er-etage-avec-grand-sous-sol-fini/1582568090
